nameMeasure,expressionMeasure,table_name_in_DAX,column_name_in_DAX,exist_measure
No of NTB,"
// sum (ALL_CIF[NUMBER_CUST])
 sum (ALL_CIF[NUMBER_CUST])  - [No of NTB closed]",ALL_CIF,NUMBER_CUST,No of NTB closed
HDss cust,"CALCULATE([No of NTB], ALL_CIF[SOURCE_CAMPAIGN] =""HDSaiSon"")",ALL_CIF,SOURCE_CAMPAIGN,No of NTB
VJet cust,"CALCULATE([No of NTB], ALL_CIF[SOURCE_CAMPAIGN] =""VJA"")",ALL_CIF,SOURCE_CAMPAIGN,No of NTB
Remitt cust,"CALCULATE([No of NTB], ALL_CIF[SOURCE_CAMPAIGN] =""Remittances"")",ALL_CIF,SOURCE_CAMPAIGN,No of NTB
Other cust,"CALCULATE([No of NTB], ALL_CIF[SOURCE_CAMPAIGN]  =""Other"")",ALL_CIF,SOURCE_CAMPAIGN,No of NTB
NTB YTD,"TOTALYTD( sum(ALL_CIF[NUMBER_CUST]) - [No of NTB closed],  Dim_Date[Date] )",ALL_CIF,NUMBER_CUST,No of NTB closed
NTB YTD,"TOTALYTD( sum(ALL_CIF[NUMBER_CUST]) - [No of NTB closed],  Dim_Date[Date] )",Dim_Date,Date,No of NTB closed
NTB by Service,"
 sum(NTB_SEVICE[NUM_CUST] )",NTB_SEVICE,NUM_CUST,
Same period last month,"CALCULATE( [No of NTB], DATEADD(Dim_Date[Date], -1, month) )",Dim_Date,Date,No of NTB
Same last 2 month,"CALCULATE( [No of NTB] , DATEADD( Dim_Date[Date], -2, month ) )",Dim_Date,Date,No of NTB
NTB YTD SPLM,"
 var _max_date = LASTNONBLANK(Dim_Date[Date],[No of NTB] )
    return 
     CALCULATE( [NTB YTD], DATEADD( FILTER( DATESMTD(Dim_Date[Date] ), Dim_Date[Date]<= _max_date ), -1, MONTH ))",Dim_Date,Date,No of NTB
NTB MTD,"TOTALMTD([No of NTB], Dim_Date[Date])",Dim_Date,Date,No of NTB
NTB ytd vs LW,"TOTALYTD([No of NTB] , DATEADD(Dim_Date[Date], -7, DAY) )",Dim_Date,Date,No of NTB
# Account,"
var _service = SELECTEDVALUE(NTB_SEVICE[SERVICE] )
return 
SWITCH(true(),
 1=1, CALCULATE( [NTB by Service], NTB_SEVICE[SERVICE] = _service),  [NTB by Service])",NTB_SEVICE,SERVICE,NTB by Service
#Acct LM,"
Var _service = SELECTEDVALUE(NTB_SEVICE[SERVICE] )
Return
SWITCH(true(), 
   1=1, CALCULATE( [# Account], DATEADD( Dim_Date[Date] , -1 , MONTH ), NTB_SEVICE[SERVICE] = _service), [# Account]
        )",NTB_SEVICE,SERVICE,# Account
#Acct LM,"
Var _service = SELECTEDVALUE(NTB_SEVICE[SERVICE] )
Return
SWITCH(true(), 
   1=1, CALCULATE( [# Account], DATEADD( Dim_Date[Date] , -1 , MONTH ), NTB_SEVICE[SERVICE] = _service), [# Account]
        )",Dim_Date,Date,# Account
#Acct L2M,"
Var _service = SELECTEDVALUE(NTB_SEVICE[SERVICE] )
Return
SWITCH(true(), 
   1=1, CALCULATE( [# Account], DATEADD( Dim_Date[Date] , -2 , MONTH ), NTB_SEVICE[SERVICE] = _service), [# Account]
        )",NTB_SEVICE,SERVICE,# Account
#Acct L2M,"
Var _service = SELECTEDVALUE(NTB_SEVICE[SERVICE] )
Return
SWITCH(true(), 
   1=1, CALCULATE( [# Account], DATEADD( Dim_Date[Date] , -2 , MONTH ), NTB_SEVICE[SERVICE] = _service), [# Account]
        )",Dim_Date,Date,# Account
Amt service,"
Var _Service = SELECTEDVALUE( CIF_TRANS_AMT[SERVICE])
var _Sum_bal = sum(CIF_TRANS_AMT[BALANCE_WEEK] )
Var _Max = LASTNONBLANK( Dim_Date[Date], [No of cust by type] )
return 
SWITCH(true(),
_Service = ""Banca"", TOTALMTD(SUM(CIF_TRANS_AMT[EOM_BALANCE] ),Dim_Date[Date] ),
_Service = ""Bond"", TOTALMTD(SUM(CIF_TRANS_AMT[BALANCE_WEEK] ),Dim_Date[Date]), 
1=1 , CALCULATE( _Sum_bal, CIF_TRANS_AMT[SERVICE]  = _Service), _Sum_bal )
",CIF_TRANS_AMT,BALANCE_WEEK,No of cust by type
Amt service,"
Var _Service = SELECTEDVALUE( CIF_TRANS_AMT[SERVICE])
var _Sum_bal = sum(CIF_TRANS_AMT[BALANCE_WEEK] )
Var _Max = LASTNONBLANK( Dim_Date[Date], [No of cust by type] )
return 
SWITCH(true(),
_Service = ""Banca"", TOTALMTD(SUM(CIF_TRANS_AMT[EOM_BALANCE] ),Dim_Date[Date] ),
_Service = ""Bond"", TOTALMTD(SUM(CIF_TRANS_AMT[BALANCE_WEEK] ),Dim_Date[Date]), 
1=1 , CALCULATE( _Sum_bal, CIF_TRANS_AMT[SERVICE]  = _Service), _Sum_bal )
",CIF_TRANS_AMT,SERVICE,No of cust by type
